12 25
4	27	27	27	27	27	27	27	27	27	27	27	4	27	27	27	27	27	27	27	27	27	27	27	5
15	92	92	92	92	92	92	92	92	92	92	26	28	92	92	92	92	92	92	92	92	92	92	E	13
15	92	92	92	92	92	92	92	92	G	92	92	92	92	92	92	92	92	92	G	92	92	H	92	13
15	92	92	92	92	92	H	92	92	92	92	0	3	92	D	92	92	92	92	G	92	92	92	92	13
15	92	92	92	92	92	92	92	92	92	92	13	15	92	92	92	92	92	92	92	92	92	92	92	13
17	1	1	1	1	1	1	1	1	1	1	18	17	1	1	1	1	1	1	1	3	92	0	1	18
4	27	27	27	27	27	27	27	27	27	27	27	4	27	27	27	27	27	27	27	28	92	26	27	5
15	92	92	92	92	92	92	92	92	92	92	13	15	92	92	92	92	92	92	H	92	92	92	92	13
15	92	92	92	H	92	B	92	92	92	92	26	28	92	92	92	92	92	92	92	92	92	92	92	13
15	92	92	92	92	92	B	92	92	T	92	92	92	92	92	92	92	B	92	92	92	D	92	92	13
15	K	92	92	92	92	92	92	92	92	92	0	3	92	92	92	92	92	92	92	92	92	92	92	13
17	1	1	1	1	1	1	1	1	1	1	18	17	1	1	1	1	1	1	1	1	1	1	1	18
