12 25
4	27	27	31	27	27	27	27	27	27	27	27	27	27	27	27	27	31	27	27	27	27	27	27	5
15	92	92	16	T	92	92	92	92	92	92	92	92	92	92	92	92	16	92	92	G	92	92	K	13
15	92	X	W	C	92	42	92	92	92	92	G	92	92	92	92	92	16	40	40	40	40	92	H	13
15	92	92	16	D	92	92	92	92	92	92	92	92	92	92	92	92	16	92	92	92	92	92	92	13
20	40	40	38	92	92	92	92	92	H	92	92	H	92	G	92	92	16	G	92	92	92	92	92	13
15	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	92	16	92	92	92	92	92	92	13
15	92	92	92	3	92	92	92	92	92	92	92	92	92	92	92	92	16	92	92	92	92	92	92	13
15	92	92	92	16	92	92	39	40	40	40	40	40	40	40	40	40	37	40	40	92	92	92	92	13
15	92	39	40	60	92	92	92	92	92	92	92	92	92	92	D	92	92	92	92	92	92	92	92	13
15	92	92	92	16	92	92	92	B	92	92	92	B	92	92	92	92	16	92	39	40	40	40	40	25
15	92	92	B	16	92	92	92	92	92	92	92	92	92	92	92	92	16	92	92	B	92	92	E	13
17	1	1	1	44	1	1	1	1	1	1	1	1	1	1	1	1	44	1	1	1	1	1	1	18
